comments,date,name
"
بحثت كثيرا في الجرائد الإلكترونية ومواقع التواصل الاجتماعي عن بيان لوزارة الشباب والرياضة يندد بتشييد ملاعب الرياضة في مجاري الأودية وفي جميع المناطق الخطيرة الأخرى ويذكر باشتراطات السلامة الواجب احترامها وبأرقام فصول القانون الواردة بها ويطالب في نفس الوقت بفتح تحقيق قضائي في حيثيات تشييد ملعب الموت والجهل أو بالأحرى ملعب العشوائية وعدم الإمتثال لقانون التشييد والبناء، وللأسف لم أجده. 
فهل فعلا لم تقم وزارة الشباب والرياضة بواجبها بالخروج ببيان مباشرة بعد الواقعة الأليمة، أم بحثي هو الذي باء بالفشل ؟ 
وأعتقد أن هناك منشآت أخرى تم تشييدها في مناطق خطيرة أخرى بنفس الطريقة وبدون تراخيص. فهل سيتم التعامل معها استباقيا ؟ أم ننتظر حتى تقع كوارث أخرى ؟
",الأحد 01 شتنبر 2019 - 08:38,<strong>استفهام</strong>
"
لا تقنطوا اللجان تتحرك وجايبا الخير، وبعد الخير غادي اتجيب لخمير يكفينا ويكفي مخابزنا.والله على ما أقول شهيد.
",الأحد 01 شتنبر 2019 - 08:42,<strong>انما الصدقات</strong>
"
لابد من تعويض عائلات ضحايا ""فيضانات تارودانت"" و محاسبة المسؤولون الذين ينهبون أموال الدولة والشعب بدون فائدة.

أما إذا بقيت الحال هكذا سيؤدي الوضع. إلى أكثر خطوراً وتدمير المجتمع المغربي.

والمشكلة الكبرى أن ليس هناك من يراقب المشاريع التي يقودها المسؤولون. 

الرئيس الأمريكي الحاكم يحكم الدولة فيها حولي 326 مليون نسمة ويحكم العالم رغم ذالك يتظامن مع المواطن الأمريكي في كل محنة.
ونحن نتواجد في دولة أقل من 40 مليون نسمة ونرى صاحب الجلالة لم يتدخل لأبعاد المسؤولون الذين ينهبون أموال الدولة والشعب ويتلاعبون في المشاريع الدولة.
فكيف يتقدم المغرب إذا إستمر الوضع هكذا؟
",الأحد 01 شتنبر 2019 - 09:08,<strong>تعويض ومحاسبة المسؤولون </strong>
"
كلام كله فراغ وخيال هدفه هو ركوب الجمعيات والإئتلافات على الفواجع ..ونعلم أنه لن يتحقق ولو كلمة مما جاء أعلاه.العالم يعرف أنه لو سقطت أمطار مثل التي تسقط بأمريكا أو أندونيسيا أو غيرهما ..سيختفي شيء إسمه المغرب من الخريطة.لا سدود ولا بنية تحتية ولا طرقات كل ما يتشدق به اصحاب العام زين يمحوه الواقع .المغرب بلد منكوب إقتصاديا اجتماعيا وسياسيا وحتى بيئيا توالت اللعنات بالبر والبحر والجو..حتى أغلبية المغاربة عوض مد يد العون عند الخطر تجدهم يحملون هواتفهم للتصوير والصراخ كالقطيع ثم التنديد وتكرار نفس الأسطوانة المشروخة ..نصيحة للمغاربة عند وقوع مصيبة من هذا النوع فيحب الإتصال بأجهزة الداخلية والقول بأن هناك أجانب في خطر وابشروا بمروحيات وسيارات إسعاف مع تغطية إعلامية واسعة...ملحوظة فالحادثة ثم تداولها بالقنوات الأروبية بشكل واسع ..وإلا لمرت مرور الكرام مثل حادث انهيار الجبل...عذرا على الإطالة...المرجوا النشر
",الأحد 01 شتنبر 2019 - 10:09,
"
 اظن انهم لا يستحقون اي تعويض لان كانت عندهم فرصة للهروب لمن شاهد.مقطع الفيديو قبل الواقعة كان متسع من الوقت للهروب لكن للاسف قال بعضهم بلسان حاله ساوي الى المنصة تعصمني من الماء لكن لا عاصم من امر الله. 
ان لله وان اليه راجعون ونسأل الله ان يرحمهم ويصبر داويهم.
",الأحد 01 شتنبر 2019 - 10:36,
"
ماهذا الكلام الفارغ 
لماذا على الدولة بتعويض الضحايا؟
هل الدولة هي التي أخرجتهم من ديارهم 
وقادتهم للملعب؟
هم ذهبوا للملعب عن طواعية واختيار 
وحصل ماحصل 
أُدعوا لهم بالرحمة والغفران وأدعوا لعائلاتهم بالصبرً والسلوان
فلماذا لا تتساءل هذه الجمعيات فيما إذا كان هؤلاء الأشخاص رحمهم الله مُؤمنين أم لا؟
والأرجح أنهم عير مؤمنين
حتى شركات التأمين لا تعوض في حالة الكوارث الطبيعية إلا بشروط
الدولة ليست بشركة تأمين
أما معضلة المعضلات وهي هذه الجمعيات نفسها فهي غير مُؤمنة وعلى الدولة قبل تمتيعها بأي ظرف مادي أن تُلزم هذه الجمعيات بالتأمين في كل ما تقوم به من أعمال اجتماعية لحماية الشعب المغربي من شجع هذه الجمعيات
هذه كارثة طبيعية وكان يمكن لها أن تحصل 
في أي مكان في المغرب
لقد شاهدنا كيف جرفت المياه البناية وهذا يؤكد انها بُنيت دون أساس تحتي وهذه مسؤولية الجماعة القروية التي لم تراعي قوانين البناء وفي نفس الوقت هي مسؤولية الشركة التي قامت بالبناء والمهندس الذي رخص بالبناء دون أساس
هذه الجمعيات همها الوحيد هو الركوب على الكوارث والضحك على ضحايا الكوارث الطبيعية
",الأحد 01 شتنبر 2019 - 11:18,<strong>Sindibadi </strong>
"
اسيروا ترحموا على الناس وقراو عليهم شوية ديال القرآن ، واش بغيتوا ترجعوا الموت فهاد لبلاد بلفلوس ؟ الي مات فشي انهيار او فشي فيضان .. يخرج علينا ائتلاف خاوي يطالب بالتعويض ، اش من تعويض والناس شايفة المياه الجارفة جاية كتحصد لحجر والشجر وهم الله يرحمهم قاعدين كيستناوها . هذا هو خرجان لعقل
",الأحد 01 شتنبر 2019 - 11:21,<strong>مهتم </strong>
"
للاسف كان لهم الوقت الكافي للفرار ولكن استهتارهم بخطورة الامر جعلهم ينتظرون حتفهم فوق بناية مدخل الملعب
",الأحد 01 شتنبر 2019 - 11:31,
"
المغرب هي الدولة الوحيدة التي لا تعوض مواطنيها كيف ما كان هذا الخطأ هل هو متعمد ام لا .فالمسؤولية هي غائبة عند مسؤولينا الرشايوية شوهوا في هذا العالم باخطائهم المتكررة ولا احد يحاسبهم عن اخطاءهم الفادحة...
",الأحد 01 شتنبر 2019 - 12:17,
"
لا احد يتمنى أن يكون في متل الحالات التي يعيشها عائلات ضحايا الكارتة ولكن الكل يتمنى أن تجد الدولة من الحلول ما يكفي لمواسات الأسر المتضررة والوقوف الى جانبهم. 
لدلك يجب على زعماء الأحزاب السياسية الموجودون بالحكومة والبرلمانيون ورجال الأعمال و أصحاب المراكز العليا ان يكتبويكتبوا شيكات سمينة تنهض بالمنطقة واسرهواسرها من طرق ومستشفيات ومدارس وملاعب...
",الأحد 01 شتنبر 2019 - 12:35,
"
للاسف غاابية هذه الچمعيات تقوم باعمال ارتجالية دون دراسات او هي تابعة لاحزاب من اجل الاصوات
",الأحد 01 شتنبر 2019 - 12:53,<strong>Med med</strong>
"
لقد حدث ما حدث و رحم اله الموتى. لكن هناك سؤال بسيط. ألم يكن عند الذين قضوا في هذه الكارثة الوقت الكافي للهروب و النجاة من الموت ؟ هناك مسؤول و مسؤول.
",الأحد 01 شتنبر 2019 - 13:36,
"
الله يتغمذهم برحمته. 
نتمنى يعوضوهم شي حاجة واخا تانشوفها صعيبة مادامو ما عندهومش تامين، وهادي كارثة طبيعية. 
بلد الافتراس بامتياز، غير اللي عندو علامن يتكا راه قاضي غرض. 
والناس اللي فالخارج تنسى مرة مرة انها فالخارج وتحبس المقارنة مع اوربا اوامريكا، حيت حنا فبلد متخلف ومكلاسي فالمراتب الاخيرة فكلشي. واصل المشكل هو شراكة بين الدولة والمواطن لانه حتا حد فيهم ماكايفرح، كيما كايتبنا داك التيران كايجي اللي يهدمو ويخربو سواء بنادم او طبيعة.
",الأحد 01 شتنبر 2019 - 13:39,
"
اخواني السلام عليكم .هادو لي ماتو الله ارحمهوم اويسبر احبابهوم.لكن بغيت نعرف علاش اي حاجة وقعت كاتلومو الدولة .ماكاندافعس على الدولة لكن اشياء كتير ة كاتوقع حنا السباب فيها بحال هده الكارتة .سمعت بودني واحد كايهدر بالشلحة كايخبرهوم بالنزول من فوق الحيط جاوبو واحد من المفقودين قال.:واش انت احمق مالو ولا بحر باش اوصل عندنا.المهم الله ارحمهوم امين
",الأحد 01 شتنبر 2019 - 14:14,<strong>احمد</strong>
"
اطلعت عاى فديو جديد نشر باحد الصحف الالكتورونية بمراكش 
اصابتني الكابة من خلال تصرف هؤلاء الناس 
فديو يوثق لا مبلاة الناس رجالا ونساء واطفالا 
يهرولون لتصوير مجرى الوادي 
والكل يغني ويصفق ويهرول 
وحين اقتراب الماء من المسودع الكل يصيح بمغادرته والكل مشغول بالتصوير حتى انهار 
لم ار قوما اصابهم ما اصابهم مثل هؤلاء 
تم اخراح سيارتين بمشقة ووقت يعني ان الوقت كان مناسبا للنزول والهرب لكن الاستهتار فعل ما فعل
كم من واقعة تقع ونهب لهواتفنا لنصور بدل اغاثة البعض او الهروب .
عن اي تعويض تتحدثون وكانها عملية انتحار جماعي.
",الأحد 01 شتنبر 2019 - 16:58,
"
بعض المعللقين يحملون المسؤولية على المتفرجين. تبعا لهاذا المنطق في اي حادثة سيكون الميت هو المسؤول. من اليوم فصاعدا علي جماهير كرة القدم أن يقومو بفحص دقيق للملاعب قبل بداية المباراة
",الأحد 01 شتنبر 2019 - 18:46,<strong>majid</strong>
"
على اصحاب البيانام يطالبوا ال.ولى بمتابعة زحل
الجمعيات التي تخالف قوانين البلاد وتشيد ما تريد خارج القانون
",الثلاثاء 03 شتنبر 2019 - 17:50,
"
مبروك وشكرا لابطال مصر الفوز بدورة الالعاب الافريقية الف مليون مبروك الفوز وبعدد قياسي من الميداليات الذهبية- انشر لو سمحت
",الأحد 01 شتنبر 2019 - 08:29,
"
انشاء الله الدولة تفرح شعبها و تتعاقد مع اطباء من هذه البلدان. امين يا رب
",الأحد 01 شتنبر 2019 - 09:14,
"
إن شاء الله يقدم إضافة مع الكتيبة الفتحية.
",الأحد 01 شتنبر 2019 - 14:32,<strong>أنوار الفتحي</strong>
"
1. مصطفى المصري
....و بعد هل ستتحسن اوضاع البلاد و تصبح مصر من الدول المتقدمة ام ستجرى انتخابات نزيهة من جديد عندكم . انا لا افهم غرضك من هذا التعليق على site. مغربي و خارج الموضوع.
",الأحد 01 شتنبر 2019 - 14:43,
"
رحم الله شهيد الواجب وألهم ذويه الصبر والسلوان إن لله وإنا إليه راجعون
",الأحد 01 شتنبر 2019 - 09:18,<strong>رحم الله الشهيد</strong>
"
ثروة الوطن للاغنياء والوطنية للفقراء، إذا كان الوطن للأغنياء، والوطنية للفقراء، فيجب تغيير هذه المقولة، وليتمكن الفقراء من أخد نصيبهم من هذا الوطن الذي فقدوا حياتهم فيه، وهو لم يفعل حيالهم سوى دفعهم إلى المعاناة. هل يعقل أن يفتخر الأفراد بوطن لا توجد فيه حتى أبسط شروط الحياة؟
رغم أن هذا الوطن لا يضمن لهم ما يمكن أن يسعفهم في ذلك العشق الذي يكنونه له ، حيث تسعى جاهدة لزرع الخوف والخضوع والجهل في أبنائها،كل ذلك من أجل أن يتحمل هؤلاء الأفراد المعاناة في وطنهم، رغم أن بإمكان وطنهم أن يضمن لهم حياة كريمة لما يتوفر فيه من خيرات وثروات، ولكن في نظر الحكام والمسؤولين، ليس من الطبيعي أن يتم تقسيم الثروات بذلك الشكل الذي سيصبح فيه المحكومون متساوين مع الحاكمين .
",الأحد 01 شتنبر 2019 - 09:36,<strong>Laïla</strong>
"
سواء ذهب للتجنيد أم لا فالموت مصيره في نفس الوقت والزمان، ولكن اللجنة الطبية مسؤولة عن الواقعة... ورحم الله الفقيد
",الأحد 01 شتنبر 2019 - 09:53,<strong>عادل</strong>
"
يجب أن يفتح تحقيق في سبب الوفاة... فمرض السكري ليس سبب كافي للاقناع
",الأحد 01 شتنبر 2019 - 10:14,<strong>مهدي</strong>
"
الشاب مريض بمرض مزمن وهو مرض السكري من الدرجة الأولى ورغم ذالك فاللجنة الطبية قبلته ؟؟؟ واش هذو أطباء فعلا أم أطباء باك صاحبي ؟؟؟ أين المحاسبة أم أنك تعتبرون المغاربة مجرد جردان حياتهم من مماتهم سواء
",الأحد 01 شتنبر 2019 - 10:31,<strong>mohajir</strong>
"
أستغرب لمادا هده اللجنة المكلفة باختيار المجندين لا ترسلهم الى المتشفيات العسكرية للقيام بجميع التحليلات الطبيةالضرورية، بالنسبة لي هدا اهمال وعدم احترافية ولولاه لما كان هدا الشاب في عداد الاموات.
",الأحد 01 شتنبر 2019 - 10:38,<strong>الاطباء في عطلة</strong>
"
انا لله و اليه راجعون، اللهم ارحمه و اجعله من أهل الجنة و أرزق أمه الصبر و السلوان. استنتاجي ان المرحوم كان مصابا بداء السكري نوع 2 )Diabetes milities 2( لأنه يستعمل الانسولين بدل الأقراص و كما هو معروف مرظى السكري يستثنى من أداء الخدمة العسكرية. المرحوم الشاب جعلته ظروفه المعيشية و طموحه ان يخفي مرظه حتى يتم قبوله هذا يعني ربما لم يكن يستعمل الانسولين بانتظام و ربما بالمرة. بما ان جسم المرحوم لا ينتج الانسولين و هو لا يحقن جسمه ب حقنة الأنسولين خوفا من أن يفتح أمره. النتيجة )hypoglycémie) of )hyperg) إحدى به إلى الوفاة و اليه أعلم.
",الأحد 01 شتنبر 2019 - 11:01,<strong>moukhtar</strong>
"
هدا العسكر مايمشي ليه غير ولاد الزواولة و المساكين اتحدى لو تلقى ولد برجوازي فيه راح حقو مسكين فرانك مايخدوه والديه
",الأحد 01 شتنبر 2019 - 11:20,<strong>akram</strong>
"
من المنطقي أن تتحمل المسؤولية اللجنة الطبية.لان السكري من النوع الأول مرض مزمن .ولا يمكن لشخص ان يحال على التجنيد وهو في هذه الحالة . هناك اختلال حقيقي وهو ما يطبع أغلب ممارساتنا في ميادين مختلفة 
الله يرحمو و يصبر والديه
",الأحد 01 شتنبر 2019 - 11:21,
"
إلى صاحبة التعليق 2 laila 
سيدتي الفاضلة نحن بصدد تعزية مواطن في ريعان شبابه ذهب لأداء واجب وطني وقدر الله ما شاء فعل أن يموت رحمه الله في خدمة الوطن، وواجبنا نواسي أهله وذويه، ولكل واحد منا أجله سيدتي وما الدوام إلا لله سبحانه وتعالي. لقد إخترت وقت غير مناسب لمحاسبة فلان وفرتلان، ولا حول ولا قوة الا بالله العلي العظيم .
تغمض الله الفقيد برحمته وأسكنه فسيح جناته وانا لله وانا اليه راجعون. البقاء لله
",الأحد 01 شتنبر 2019 - 11:37,<strong>مواطن مغربي</strong>
"
ممكن بخزعة بسيطة بأحد اسابع اليد قياس نسبة السكر بالدم فصراحة هناك نوع من الإهمال من طرف السلطات ويجب فتح تحقيق عن اسباب وفاة هذا الشاب.
",الأحد 01 شتنبر 2019 - 12:26,<strong>سلام</strong>
"
رحمه الله ورزق ذويه الصبر والسلوان وانا لله وانا اليه راجعون
",الأحد 01 شتنبر 2019 - 13:05,<strong>ادم</strong>
"
سيدي صاحب التعليق رقم 10 : 
لماذا ذهب هذا الشاب الى التجنيد رغم مرضه، بل اخفى انه مصاب بمرض السكري لماذاعرض حياته للموت؟ لانه اغلقت كل الابواب امامه في مجال العمل رغم دراسته الجامعية ، لووجد عملا في مجال اخر لما وقع ماوقع، لهذا تطرقت الى ان المواطن الفقير لايساوي شيء، واظن انك من الطبقة البورجوازية التي لاتعرف مامعنى البطالة ولاتقدر معنى ان يصبح الشاب عالة على عائلته يمد يده لابويه للحصول على دريهمات لقد حز في نفسي ماوقع لهذا الشاب وليس لدي مااقول الاحسبي الله ونعم الوكيل !!
",الأحد 01 شتنبر 2019 - 13:20,<strong>Laïla</strong>
"
تالمت كثيرا على وفاة حسبي....ولكن الذي لايجب ان ننساه هوان الموت اجل محتوم....وكان حسبي سيتوفى ولو انه امتنع عن الذهاب الى التجنيد.....ولا تاتيكم الا بغتة.....كم من عليل عاش طول الدهر وكم من صحيح مات دون علة .....اطلب من الله الصبر والسلوان لذويه واصدقاءه وان يسكنه فسيح جناته
",الأحد 01 شتنبر 2019 - 14:15,<strong>مواطن</strong>
"
اللجنة الطبية خلال الإدماج لا تقوم إلا بالفحوصات الأولية و الطبيب المشرف عليها مدني تابع لوزارة الصحة كما يضم الكثير، حيث أن لجنة الإدماج مكونة من عسكريين و مدنيين. أما التحاليل المختبرية فلا تؤخد العينات من دم و بول و ريق و حتى غائط الا بعد الالتحاق بمراكز التدريب. و هذا الشاب توفي و التداريب لم تبدأ بعد. يعني كان في حالة الإنتظار و الملاحظة.انتظار نتائج التحاليل المختبرية التي تأخذ وقت بالنظر إلى العدد الكبير المجندين. و المرحوم قد تكتم على مرضه المزمن بل تخلى حتى عن دوائه. فكان ذلك سبب وفاته رحمه الله.
",الأحد 01 شتنبر 2019 - 14:16,<strong>علي</strong>
"
1 ...كيف يعقل الأبن الوحيد عند الأسرة مكونة من أم و إبن 
أن يقبل في التجنيد ......
2.....و الخطير في الأمر أن المرحوم كان يعاني بالمرض السكري ....... وأنه كان يستعمل أنسولين
3 ....أم في سن الشيخوخة هل الدولة ستكون في تكفل إجباريا ...أو أن الشارع سيتكفل بها إجباريا 
كما قال المثل فاقد الشيء لا يعطيه
",الأحد 01 شتنبر 2019 - 18:17,
"
إلى الأخ على التعليق رقم 15 أقول لا تحاول تبرير الفضيحة فنحن من أهل المهنة ونعلم كيف تنظم الأمور، أولا يجبلىكل متقدمأن يملأ إستمارة عن حالته الطبية ويوضح فيها إن كان يعاني من مرض مزمن عضوي كان أو نفسي لكي يثم معاملهم معالة خاصة أو يرفض طلبهم أما التحاليل التي تتحدث عنها فهي الخطوة الثالية
",الأحد 01 شتنبر 2019 - 20:21,<strong>mohajir</strong>
"
من يعتقد ان في هذا البلد لا زالت هناك مدرسة عمومية وتعليم عمومي بالمعنى المتعارف عليه دوليا فهو يكذب على نفسه ويصدق الوهم !!
يجب الاعتراف بالحقيقة المرة وهي ان المدرسة العمومية تم تدمير دورها وذلك لأسباب سياسة وعبر مخطط وضع منذ عشرات السنين !!
الصورة المرافقة للمقال تغني عن كل شرح
",الأحد 01 شتنبر 2019 - 09:31,<strong>علال كبور </strong>
"
قال صغير حسين، رئيس جماعة أنمزي، في اتصال هاتفي بهسبريس، إن ""الوادي بعيد عن المدرسة ولا يشكل خطرا عليها""، ووعد بأنه سيعاود الاتصال في ما بعد نظرا إلى انشغاله حينها، غير أنه لم يفعل.واش نضركم هادا مسؤل اداري راه قريبة لواد يعني يوم من الايام غادي يجي ممكن يحصد ارواه التلاميد وباغين حال ماشي انا مشغول لا ممسليش لمواطنين راه شغلك الشاغل هو المواطنين فينك اوازير التعليم تنشكرو هاد المواطن لبلغكم ومنكم راسكم
",الأحد 01 شتنبر 2019 - 09:52,<strong>رضوانلعلالي</strong>
"
واش هاد د بالصح مدرسة , كتبان لي بحال حظيرة ، اي جيل تتوقعون ان تنتجه مدرسة مثل هذه ، هل سيكون لديه اي احساس بالجمال او اي هاجس نظافة اما التحصيل والتدريس فهذا شأن آخر
",الأحد 01 شتنبر 2019 - 10:01,<strong>souse</strong>
"
اذا كانت الصورة للمدرسة عينها .فانها مقبورة لا محالة .واين هي ابسط مواصفات المدرسة العنونية لا موقع لا بناية لا تشجير لا مرافق صخية انها عبارة عن بناء مهجور اطلال ليس الا .وهل يقبل متعاقد ما بالتعبن هناك ..هنا ضحى الجيل القديم من الاساتذة الاكفاء الافاضل الاجلاء وكان للتعليم قيمته وكان للاستاذ الاحترام والتقدير .سلام سلام
",الأحد 01 شتنبر 2019 - 10:02,<strong>استاذ متقاعد</strong>
"
هناك ملعب شبيه بملعب تارودانت،مشيد وسط الوادي في اربعاء تاوريرت بالحسيمة ،على المسؤولين ان يتدخلوا قبل فوات الأوان
",الأحد 01 شتنبر 2019 - 10:23,<strong>محمد</strong>
"
هل البناية التي في الصورة مدرسة فعلا أم زريبة، لماذا وزراؤنا ونوابنا ومسؤولينا لا يخجلون ولا يستقيلون أمام مناضر وفضاعات مثل هذه. الله يحفظنا وما يعطينا وجوهكوم وقلوبكوم.
",الأحد 01 شتنبر 2019 - 10:46,<strong>عبدو</strong>
"
هده اضحى ان تكون قلعة تازممارت على ان تكون مدرسة! الله ياخد بيد التلاميد المهمشين... في زمني كان في كل مدرسة العلم الوطني...
",الأحد 01 شتنبر 2019 - 11:17,<strong>حشومة و عار</strong>
"
مدرسة في قيفار انها صورة تعبر عن المأساة التي يعيشها قطاع التعليم
",الأحد 01 شتنبر 2019 - 11:24,<strong>akram</strong>
"
تزمامارت هذه مشي مدرسه غير 100 درهم ديال الجير وشي شجيرات وتعود الروح وعيق المسؤل ديال الزفت.
",الأحد 01 شتنبر 2019 - 11:29,<strong>احماد</strong>
"
يا لها من مدرسة، تحفة فنية راءعة كأنها في المريخ ، الله معكم يا تلاميذ و أساتذة بلادي الحبيب
",الأحد 01 شتنبر 2019 - 11:34,<strong>ملاحظ</strong>
"
التعقيب المنتظر من رءيس الجماعة هو ٱن المشروع يتوفر على كافة الوثاءق القانونية المتعلقة بالموقع والبناية وليس ذلك الكلام الفارغ. يجب على الناس ان يتكلمو بالقانون وليس بالمنظور الشخصي لان القانون يعني المسؤولية القانونية اما الكلام فلا يعني شيءا
",الأحد 01 شتنبر 2019 - 11:51,<strong>Abdou</strong>
"
لا اظن انها مدرسة حقيقية هذا فقط بناء شيدوه لمحو الامية عن هذه المناطق المنسية
",الأحد 01 شتنبر 2019 - 13:10,<strong>اسية</strong>
"
البناء العشوائي و اثاره. يبدأ برشوة للمقدم والشيخ و تصل احيانا للقائد.... ولك الاذن ابني في واد او بحر... من خلال الصورة فهاته البناية في طريق الواد.. اي ستأتي المياه يوما لمجراها و تجر البناية. ناهيك انها مدرسة و تابعة لوزارة.. ههههه
",الأحد 01 شتنبر 2019 - 14:44,<strong>غياب السلطة</strong>
"
السلام عليكم ورحمة الله تعالى وبركاته هده المنطقة توجد قرب تونفيت وبالقرب من جبل العياشي و جبل المعسكر القريبة ايضا من قرية انفكو .والمناطق هاته تعرف عواصف رعدية باستمرار خلال فصل الصيف و نذكر بالحادث الدي وقع هدا الصيف حيث جرفت الامطار سيارة رئيس جماعة أنمزي اثر محاولته قطع طريق الوادي الدي ارتفع منسوب مياهه والحمد لله نجى السيد الرئيس بحياته بينما غرقت سيارة الجماعة كما تعرف هده المناطق تهاطلات ثلجية مهمة خلال فصل الشتاء وتدني درجة الحرارة نسأل الله السلامة لهؤلاء الثلاميد ورجال التعلبم المغتربين في هده المناطق النائية
",الأحد 01 شتنبر 2019 - 18:38,
"
مدرسة توجد في وادي بين الجبال، الله باخد الحق في هذا المهندس و المسوولين
",الأحد 01 شتنبر 2019 - 19:18,<strong>مزري</strong>
"
هل تقبل أيها المسؤول ،ايها المنتخب ،ايها الموظف السامي،أيها الوزير ،ايها العامل.....أيها ....أيها.....ان يدرس ابنك أو ابنتك في مدرسة كهذه ....المغرب العزيز مشااااااااااااا
",الأحد 01 شتنبر 2019 - 22:37,<strong></strong>
"
أين الدولة أين الوزراء أين العثماني أين نواب الشعب أين المعارضة أين الولاة واعباد الله فضحتونا في العالم واعباد الله راحنا في 2019 واعباد الله لا صحة لا تعليم لا امن لا اقتصاد لا بنية تحتية ولا فوقية لا شغل واعباد الله فين مزال جارين هاد البلاد
",الأحد 01 شتنبر 2019 - 09:10,<strong>عادل</strong>
"
الله يشافي كل مرضى الغدة الدرقية ومنهم وزارة الصحة لي فيها غدد الفساد و النهب و الاهمال اما باقي المواطنين اصحاب الغدة (الغصية) مشتقة من كلمة غصة والتي تسبب بدورها عدة امراض فعليكم الفكرة بالهجرة ليس من اجل المال فقط بل من اجل صحة افضل و تعليم احسن
",الأحد 01 شتنبر 2019 - 09:25,<strong>وجدي</strong>
"
ياناس يابني وطني الشرفاء لقد فقدنا الثقة في مؤسساتنا منذ القدم بمعنى الدولة ككل والمؤسسات أجهزتها التسييرية التدبيرية والتنكيلية، أذكر في بداية 
التسعينات من القرن الماضي سمعت على الهواء مباشرة أن وزارة الصحة أقدمت على سحب مضاد حيوي للأطفال من الصيدليات اعتقد إسمه( جوزسين) ،وبعد أيام استعلمت صيدلية بجواري نفى ما ذكرت بصفة قطعية واراني الدواء،وبعده بسنين منع دواء وبقي في متناول الأطباء والصيادلة وكنت اجده عند والدتي بوصفة،وأثرت انتباه اخي لذلك،وتقول لي وزارة قلة الصحة، وقصة سحب زوجتي من المستشفى الإقليمي والإحساس بالمرارة، وسنة 2030 نكون أغنى دولة في العالم ولجنة الذكرى  15 لعيد العرش، ماتت بين شفتي طالبها، وبترول تالسينت، الذي صليت من أجله ركعتي الشكر لله تعالى مباشرة بعد الخطاب الملكي مباشرة، فلم يعطى للشعب اي اي تفسير، فلا بشرى يومئذ للمجرمين.صدق الله العظيم. والصلاة والسلام على رسول الله وعلى آله وصحبه. انشري اولا تنشري هسبرس
",الأحد 01 شتنبر 2019 - 09:59,<strong>انما الصدقات</strong>
"
ماهاذا التلاعب بصحة المرضى يا حكومتنا الموقرة
بنت خالتي وهي امرأة عجوز ماتت رحمها الله وفي نفسها على من هذه الحكومة التي حرمتها من دواء الضغط ثم ليفوتيروكس اللعين الذي ضلت تبحث عنه الى آخر دقيقة من عمرها
رحمها الله
زوجتي وهي امرأة في الستين تصغرني بخمس أو ست سنوات تعاني هي الأخرى مع الوزارة ومع ليفوتيروكس
لا وجود لهاذا الدواء إلا في الخيال
أوصلت الأمور إلى هذا الحد
مرضى يعانون أمراضا خطيرة ولا يجدون دواء يشترونه من الصيدليات
أهذا هو المغرب
ما ذا يجري بالضبط
من وجهة نظري إنها اللامبالاة الحقيرة وانجس نوع من البشر من يتولون وزرها
ناس يعانون ثم يموتون ولا يدرون من فعل بهم ذالك
اتظنون أن الله لا يعلم من فعل بهم ذالك
لقد وصلنا الى الله لأن امثالكم لا يخافون واسد من ذلك لا يستحييون
استمروا في نجاستكم فأنتم اهل لها وسيموت من يموت اذا وصل أجله وسيعيش ويعاني من يعيش لكي ينتقم منكم يوم الانتخاب
",الأحد 01 شتنبر 2019 - 10:16,<strong>omar</strong>
"
وزارة كذابة، وزير دون مستوى و لا مسؤولية. ، فماذا تنتضرؤن من ثنائي اكل الدهر عليهما و شرب . عوض تتبع الإحصائيات عند المرضى ، وزيرنا ينصب نفسه محامي الأطباء الفاسدين و يرفع شكوى ضد صحافي نزيه .
",الأحد 01 شتنبر 2019 - 10:35,<strong>MAO 1951</strong>
"
الوالد ديالي من الناس الي محتاجين لهاد الدواء
عييت نقلب عليه فمكناس .. لقيت فقط علبتين من 100 غرام و البارح جيت السعودية و فعلا كان انقطاع جتى هنا و الان توزع الدواء مرة اخرى على الصيليات و شريت كمية وفيرة تكفي والدي حتى سنتين نتمنى من الله ميوقفونيش فمطار كازا من اجل التدويرة كيف عادتهم ...
",الأحد 01 شتنبر 2019 - 11:00,<strong>حليم سعيد</strong>
"
السلام 
هنا يكمن تدخل النيابة على الخط لانه قانونيا هناك تقصير و عدم مساعدة شخص في حالة خطر و يجب اعمال مسطرة بحت قضائي تحت اشراف النيابة العامة المختصة و استدعاء كل من له صلة سواء وزير الاول او الصحة و مدير الادوية بالوزارة و الموزعين لمعرفة اسباب هدا الاهمال في حق مرضى.هنا نتاكد انه فيه قضاء و ربط المسؤولية بالمحاسبة.
المراكز الصحية بالاحياء لا يوجد فيها دواء ضغط او سكري و بعطى للاعيان و باك صاحبي.
راه حشومة و عيب و عار واش هاد الناس مكيفكروش ف الموت و القبر و الحساب و العقاب.العفووووووو!!!!
",الأحد 01 شتنبر 2019 - 11:13,
"
الحكومة التي لا توفر حاجيات مواطنيها ليست حكومة واحسن لها ان تنصرف وتغادر وتترك المكان لمن هم قادرون ألقتال من اجل مواطنيهم وتلبية حاجيات مواطنيهم وليس بإستبدال عفاريت بتماسيح وشيطان بإبليس .
",الأحد 01 شتنبر 2019 - 11:26,<strong>حكومة سلبية لن تاتي بخير</strong>
