الأحد 22 دجنبر 2019 - 08:17,محمد ال الشيخ,اقترح على الجهة الشرقية تنظيم مهرجان الفقراء و مشركتنا باف درهم حتى نغني الف فقير. 
الأحد 22 دجنبر 2019 - 10:42,مقاطع ل 2m,اذاعة حامضة جدا. لهاذا اقاطعها....
الأحد 22 دجنبر 2019 - 10:58,مقاطعة 2M,"ماذا لو تمت مقاطعة هاته الإذاعة. نعم إنها إذاعة الذل بإمتياز. 
لنحذفها من برامجنا والسلام"
الأحد 22 دجنبر 2019 - 11:03,مقاطع,بالسيف يحصل ليها إفلاس واش المدير كيتخلص 12 المليون من جيوب المغاربة إكراها وبغيتوها تبقى بالنسبة ليا غتكون بشرى زوينة نهار تعلن إغلاقها نهائيا
الأحد 22 دجنبر 2019 - 11:11,fidel marocain,كما العادة الحكومة لا ترى أمامها من حلول سوى جيوب المواطنين بدل ترشيد النفقات والبحث عن استثمارات ومحاربة الفساد. 55 درهم يجب عليهم دفعها للمواطن لمشاهدة هذه القناة وليس العكس
الأحد 22 دجنبر 2019 - 11:11,المداغي المغربي,"القناة المغربية الثانية (2M) 

قناة الذل والعار ويستغلها البعض من المتملقين الذين يلقون بها برامج خبيثة وجد تافهة وتعمل ضد مصالح الشعب. ما لنا ومال هذه القناة أن تفلس أو تنجح لا يهمنا كون 99 ٪ من المغاربة لا يتابعونها. 
إن قررتم أنتم كمسؤولون إنقاذها فما عليكم سوى اللجوء إلى جيوبكم التي فاضت بالمال العام المنهوب وانقذوها. أغرقكم الله وإياها في هاوية.
كلما قررتم مشروعا ما والشعب يعرف أنه مشروع فاشل مسبقا تلجؤون لجيوب الشعب الفقر. ماذا تريدون من هذا الشعب وما هي الرسائل التي توجهونها له في كل مرة وهو لم يرد فهمها.
نعم إنكم تسعون لدفعه للثورة والتمرد ضد النظام لتستغلوا الفرصة وتهربون خارج الوطن وقد مهدتم لذلك من قبل، من جنسية ومشاريع وقصور وڥيلات ومباليغ مالة ضخمة نهبتموها لتقضوا ما تبقى من عمركم أنتم وذويكم في بلد اخترتموه من قبل. ولكنكم نسيتم أن الله يمهل ولا يهمل"
الأحد 22 دجنبر 2019 - 11:14,oukil,"2M depuis sa création n'a cessé d'offencer les marocains dans leurs moral et spiritualité , elle est le fer de lance de la laïcité qui cible dissociation
de la famille et par conséquent la société et l'identité en final . je crois que Medi1 mérite cet impôt vu ses programmes qui traitent tous les sujets qui préoccupent les marocains ."
الخميس 19 دجنبر 2019 - 22:16,Khalid,"تأمين ليلة رأس السنة فقط، 
وماذا عن باقي ليالي السنة..
وباراكا..
أليس منكم رجل رشيد -صدق الله العظيم-"
الخميس 19 دجنبر 2019 - 22:22,يونس الرباطي,من يحرض على شيطنة احتفالات رأس السنة الميلادية هو شخص يوفر غطاء ايديولوجي للإرهابيين بارتكاب أفعالهم الشنيعة. فالإرهاب يقوم على فكرة كراهية كل ما هو مختلف، ومنه العنف المعنوي إلى المادي.
الأحد 22 دجنبر 2019 - 12:15,خبر جيد,خبر جيد. اتمنى تحقيق هذا. بالتوفيق ان شاء الله.
الأحد 22 دجنبر 2019 - 12:25,أمين,علينا أن نكون إجآبين ونرحب بهذه الإجراءات
الأحد 22 دجنبر 2019 - 12:26,simo elbarnoussi,رغم تبسيط المساطر القانونية و الاجراءات الادارية والتحفيز ووووو........عليكم محاربت الرشوة والمحسوبية والزبونية .................كل القطاعات بها رشوة
الأحد 22 دجنبر 2019 - 12:35,hassan,"la réforme doit toucles fonctionnaires en premier et le modèle de gestion du temps de travail. 
Respect strict des horaires de travail et avancement selon les critères précis. 
la période de transition ne doit dépasser 18 à 24 mois si non on du temporaire qui dure. 
enfin il est temps de faire le redéploiement des agents de l'administration vers les services publics qui connaissent des golos d'étranglement (santé, éducation et justice)."
الأحد 22 دجنبر 2019 - 13:01,التفاني,يجب أن توضع هذه القوانين عبارة عن ملصقات ومنشورات بهذه الإدارات للقطع مع أشخاص ينظرون أمام الموطن من أجل ابتزازه وأمور أخرى خلت. بالتوفيق.
الأحد 22 دجنبر 2019 - 13:06,ali,اول اجراء يجب التعجيل به هو حذف شهادة الحياة .اتذكر يوما طلبت مني هذه الشهادة . اخدت اتمعن كثيرا في نوظف الادارة .فسالني ما بك .اجبته هل تمازحني .
الأحد 22 دجنبر 2019 - 10:04,سير,حساب لي واش غادي يبحث بوريطة مع السراج او مع وزير خارجية تركيا مثلا المؤامرات على ليبيا .
الأحد 22 دجنبر 2019 - 11:28,الإملاء والإنشاء,ما نتوقع عندما يستنجد غريق بغريق ؟ أو عندما يلتقي تلميذان مجتهدان في مادة الإملاء ولا يعرفان شيئا آخر غير حمل الرسائل وتطبيق التعليمات ؟
الأحد 22 دجنبر 2019 - 11:40,متطوع في المسيرة الخضراء,أعتقد أن هذا دور المنقد المطلوب من جلالة الملك حفظه الله ورعاه الدعوة إلى لقاء خاص يضم وزراء خارجية الدول العربية لمناقشة الأزمة الليبية بحضور جميع الأطراف المتصارعة كل طرف يحارب الطرف الآخر بالنيابة عن الدول التي تريد السيطرة على خيرات الشعب المغلوب على أمره
الأحد 22 دجنبر 2019 - 09:51,دكتور في الطاقات المتجددة,فرق كبير بين الامم المتقدمة و وطننا الحبيب هنا قرينا حتى حفينا و بزز باش لقينا خدمة فالتعليم وبالتعاقد يا حسرة
الأحد 22 دجنبر 2019 - 10:26,مغربي حقيقي,"الحياة في المانيا أصبحت صعبة جدا والسبب الارتفاع الصاروخي في ايجار السكن وكذلك المواد الغذائية والماء والكهرباء والمحروقات.

بالنسبة للشغل هنا فهو كثير ولكن توفير المال قليل. 

فلوس الألمان كتبقا عندهم. 

الحياه في المانيا ليست ذات جوده. 
الفواكه والخضروات غالبا قديمة والمصبرات تضر بالصحة. 

على العموم مرحبا بالجميع."
الأحد 22 دجنبر 2019 - 14:42,زبير,"و يستمر الغياب المغربي
فشل في كل الميادين"
الأحد 22 دجنبر 2019 - 15:10,رضوان,où est le classement de achraf hakimi?qui est entrain de construire l'histoire de dortmund je le vois avant mehrez parceque c'est un joueur d'efficacité de son club mais l'algérien désormais remplaçant indispensable
الأحد 22 دجنبر 2019 - 15:13,ليفيربول,نتمنى تكون للأخ الجزائري ماني وصلاح عندهم بزاف ديال الألقاب
الأحد 22 دجنبر 2019 - 15:39,كوايري,تقنيا ومن دون عاطفة.ارى أن السنغالي ساديو ماني هو من يستحقها.لاعب مهاري وقوي بدنيا ويلعب بثقة.كرته رفيعة وممتعة
الاثنين 16 دجنبر 2019 - 05:27,imad,ثم يتسائل بعض الناس عن سبب انتشار الحروب و الفقر في الدول الإسلامية. الحرام و الفساد منتشر و دين الله عز وجل حرف و ترك. حسبنا الله ونعم الوكيل
الاثنين 16 دجنبر 2019 - 09:56,amaghrabi,"العراق اصبح في خبر كان,ودخل النفق المظلم يعلم الله متى يخرج منه ,وما يحيرني الدور الأمريكي الحالي اليوم في العراق بحيث نراهم يفرضون على المغرب ما يسمى بالمنورسو من اجل مراقبة وقف اطلاق النار بين المغرب والمرتزقة الجزائرية ومما يزيد الطين بلة حينما تراهم والغرب معهم بصفة علمة يطلبون من المغرب ان تتدخل المنورسو من اجل حقوق الانسان في الصحراء,وامريكا موجودة شخصيا في العراق وحكام العراق يقتلون شعبهم ولا يتدخلون من اجل رفع الظلم الذي يقع امام اعينهم.والله ان هذه الدولة أصبحت تدعو الى شيئ وتعمل أشياء أخرى وبالتالي فهي دولة خلق المشاكل وهدم الدول التي تريد ان تبني بيتها"
السبت 21 دجنبر 2019 - 21:14,أبو مهدي,هذه الاموال يجب أن تخصص لتوفير العلاج والاستشفاء المجاني لمرضى السرطان المعوزين ..باركة من نهب المال العام
السبت 21 دجنبر 2019 - 00:19,مهاجر,راجعوا صرف العمولات ولا تتحيلوا على السياح و المهاجرين الخاسر هم انتم
السبت 23 فبراير 2019 - 23:06,فلالي,اللهم احفظ لنا اميرنا المحبوب ولي العهد مولاي الحسن.تبارك الله وما شاء الله يحمل على عاتقه مهام جسام رغم حداثة سنه.اللهم احفظه من عيون شر الخلق وبارك لنا فيه وفي والده جلالة الملك .ومرحبا بضيوف المغرب .في اقل من اسبوع المغرب يستقبل ضيوفا من طراز رفيع وهدا يبين قيمة بلادنا ويجر علينا الحسد
السبت 23 فبراير 2019 - 23:17,مغربي,مرحبا بضيفا المغرب الكبيرين حفظ الله اميرنا المحبوب ولي العهد مولاي الحسن بما حفظ به الذكر الحكيم و ادام عليه الصحة و السلامة و الافراح و المسرات و التوفيق و التفوق باستمرار.
السبت 23 فبراير 2019 - 23:31,اعصيم سمير,الامير ولي العهد مولاي الحسن الله يحفظو وينصرو.وملكنا محمد السادس الله يحفظو وينصرو ويحفظ ليه الميمة لي ولداتو.
السبت 23 فبراير 2019 - 23:40,مغربية,اميرنا الوسيم ...اللهم بارك فيه وبارك عليه...
الأحد 24 فبراير 2019 - 09:27,عدنان,الله ينصر سيدنا محمد السادس و الاسرة العلوية الشريفة ، انا مستعد نضحي بالغالي و النفيس وحياتي من اجل ملكنا المحبوب. اجمل ملك في العالم. يعيش الملك.
الأحد 24 فبراير 2019 - 16:41,الحقيقة,تبارك الله وماشاء الله على أميرنا الله ينصره ويحفظه ويحفظ العائلة الملكية الكريمة وعلى رأسها جلالة الملك محمد السادس نصره الله وايده
السبت 21 دجنبر 2019 - 09:39,Hannover,"السلام عليكم ورحمة الله وبركاته أخي الكريم. 
هذا شرف لنا كمغاربة في ألمانيا. 
أخي العزيز أود أن أشير بأن تجربتك هي نفس التجربة التي عشتها في بلد المهجر، لقد درست كذلك الألمانية في ثانوية مصطفى لمعاني بالحي المحمدي وبعد حصولي على البكالوريا في المغرب قررت الهجرة إلى ألمانيا من أجل الدراسة و لقد تسنى لي ذلك و حصلت على شهادة مهندس دولة في الهندسة الكهربائية، اشتغلت فى هذا الميدان و حاليا اشتغل كمتجرجم محلف لدى المحاكم بولاية ساكسونيا السفلى. 
أحييك أخي الفاضل على هذا المجهود الجبار الذي قمت به في مسارك المهني.
تحياتي من مدينة Hannover. 
Rachid Hassouni"
السبت 21 دجنبر 2019 - 11:22,سوبرمان,لولا كفاءات هذا المفربي لما تقدم الاقتصاد الالماني ولما عرفت ألمانيا كل هذه الطفرة الاقتصادية وهذا التقدم العلمي في كل المجالات. الفضل كل الفضل يرجع إلى هذا المغربي العبقري ....
الجمعة 08 نونبر 2019 - 00:17,مصطفى البهلول صاحب روئية,"جائت من أجلي تسول قفطان + العشاء 
كولي أو عقلي الخير أو من عملو فيك يا إفنيكة"
الجمعة 08 نونبر 2019 - 00:17,من المغرب,فعلا جات زوينة طيحت السر، المهم ما ستقدمه لفقراء هذا البلد.
الجمعة 08 نونبر 2019 - 00:21,مغربي في المغرب,أنا لي غادي يفقاصني هوا رئيس الحكومة العثماني فين موقف حدا شي كاميرة ولا حدا شي مسؤول تلقاه يابتسم تقول غير عامل الإشهار ديال معجون الأسنان
الجمعة 08 نونبر 2019 - 00:30,mohamed,لانها جميلة لي لبساتو ايواتيها بدون ماكياج ماشي بحال خواتاتنا غير تيضيعو الفلوس بحال ماكاو بحال ما ماكاو
الجمعة 20 دجنبر 2019 - 22:18,salah,مسؤولون في واد والشعب في واد،همومنا آخر شيء يفكر فيه هؤلاء المسؤولون التابعون لماما فرنسا.الله ياخذ الحق
الجمعة 20 دجنبر 2019 - 22:19,محمد أمين,نعم ضلام وخروج اولدي الله يخد فيكم الحق لزاد هده الساعة المشؤمة كرفستونا في حياتنا اليومية
الأحد 22 دجنبر 2019 - 06:22,مثقف وطني,"تحليل منطقي و معقول شرح بالشدة فوق الراء الواقع المغربي و دكر أسباب التخلف و الحلول للخروج من الأزمة ....التعليم و الصحة و العدل و السكن و الشغل و المساواة في كل مناحي الحياة و محاربة الفساد المستشري و القطع مع اقتصاد الريع و الامتيازات و ربط المسؤولية بالمحاسبة ....
يجب ان تتوفر إرادة سياسية جادة للاصلاح الشامل من جانب الفاعل السياسي و المواطن ......."
الأحد 22 دجنبر 2019 - 06:28,L autre,"النموذج التربوي لا يناقش مشاكل كالتعليم والشغل والفقر ووو منفصلة وإما يهدف الى صياغة الإطار السياسي والاقتصادي الكفيل بحل هذه المشاكل ... وعليه لا بد من التسريع بتنفيذ مشروع الجهوية باقصى سرعة نحو حل هذه المشاكل حسب ظروف كل جهة. ان المركزية في المغرب هي ام المشاكل. فالرباط غير قادرة على حل مشاكل وجدة مثلا لأسباب كثر الحديث عنها لكن أهمها يبقى ان المركز يهيمن على مقدرات الجهات المادية والمعنوية دون ان يكون قادرا على مواكبة حاجياتها ... الرباط هي اكبر مركز ريعي في المغرب نظرا لتغول البيروقراطية والنفوذ فيه... والى ان ترفع يدها عن مصير الجهات وتترك إدارة هذه الجهات للمعنيين بمشاكلها وحلولها سنبقى ندور في حلقة مفرغة اسمها ""الامتهان السياسي والاقتصادي"" le carriérisme ..."
الأحد 22 دجنبر 2019 - 10:44,yassir,روائي جدير بالتكريم و رد الإعتبار
الأحد 22 دجنبر 2019 - 13:32,نور,بادروا بتكريم الرجل وإعادة تدريس مؤلفاته وكافئوه على ثراثه الأدبي المغربي.
الأحد 22 دجنبر 2019 - 14:07,حمزة,لاحظوا الفرق بين الثقافة في روسيا والثقافة في الغرب الثقافة في روسيا دائما ما تبحث عن روايات إجتماعية وتعالج المشاكل اليومية. في حين الثقافة في الغرب تهتم دائما عن الخيال والبعد عن الحقيقة. السبب وراء إختيار المستشرقة الروسية لترجمة هذه الرواية إلى اللغة الروسية أنها قريبة من روايات الأدباء الروس المميزين ك فيودور دوستويفسكي و ليو تولستوي و أنطون تشيخوف وغيرهم من الأدباء الروس الذين أبدعوا في كتاباتهم و أغنوا رصيد الأدب العالمي بمؤلفات رائعة لكن الأدب الروسي قليل الإنتشار في المغرب رغم أنه تقريبا ستجدون أنه قريب من الواقع المعيشي في المغرب
الأحد 22 دجنبر 2019 - 14:18,محمد لعيوني,كاتب و اديب كبير..حرم الجيل الحالي من قراءة كتبه وروايته.هؤلاء من يستحقون ان يكونوا وزراء التقافة او علئ الاقل مدراء جهويون..
السبت 21 دجنبر 2019 - 14:47,الهواري,واش هاذ الاستاذ واعي بعدد الأرواح لي غاديةيستهدفها الاجهاض. واش عارفين حنا اش من علم او حلول لي كان من الممكن يتوصل ليها هادوك لي تم الاجهاض ديالهم ما هو دنبهم
السبت 21 دجنبر 2019 - 17:32,حسن,الاجهاض حرام شرعا الا ادا كان يشكل خطرا على الام يعتبر جريمة قتل سواء كان عصريا اوتقليديا ما الفرق بين الاجهاض ورمي الجنين بعد الولادة في القمامة كما نسمع مؤخرا لا فرق كل الطرق تعتبر قتلا للنفس اليس الاجهاض منافيا لحقوق الطفل الدي يعتبر من المواثيق الدولية الدي يتبجح بها الغرب و الموالون له اليس الاجهاض اعداما
الأحد 22 دجنبر 2019 - 13:57,khaledtop,"لاحولة ولاقوه الابالله
الاجهاض يكون في المراحل الأولى قبل نفخ الروح يعني قبل 4 أشهر. والاحهاض في الاغتصاب وزنى المحارم وحالات من الامراض"
السبت 21 دجنبر 2019 - 14:15,lemaroquino,Bon courage mademoiselle je suis sur que tu va bien représenter le Maroc et je suis sur que tu aura un beau avenir inchallah je ne serai pas étonner de te voir d ici 10 ans ministre de l éducation
الأحد 22 دجنبر 2019 - 09:05,بقرات سمان وأخر عجاف,الدنمارك بلد الحقوق بامتياز حيث وفر لمواطنه العيش الكريم ، تعليم جيد، توزيع الثروة عادلة ،اﻻمن ، الصحة،... سؤال لبوعياش ؟! هل يتمتع المغرب باحد هذه الحقوق !؟ على اي شيء وقعت !! فعﻻ وقعت في الفخ !! على من تضحكين !! اشخصك العريان ، الخاتم اموﻻي !!
الأحد 22 دجنبر 2019 - 14:11,amaghrabi,"اعتقد ان الامام أبو حنيفة هو من قال""استطيع ان اقنع 100عالم ولا استطيع ان اقنع جاهل واحد"",صراحة ان موقف الجزائر موقف الجهلة وموقف كما يقول المغاربة""معزة ولو طارت""وبالتالي صعب جدا على دولتنا ان تتوصل الى نتيجة ترضي هؤلاء المتعنتين المعاندين الذين لا يقيسون الأمور بمقياس الربح والخسارة,فلا اله الاالله ولا حول ولا قوة الا بالله,ويصدق عليهم حديث رسول الله""ان لم تستحي فافعل ماشئت"""
الأحد 22 دجنبر 2019 - 15:24,لوسيور الامازيغي,"قضية الصحراء مهدرة لمال المغاربة وميعة للوقت.يجب العلان الحرب على الجزائر.تركيا لا تتهاون في الدذفاع عن اراضيها ومطاردة الاكراد في العراق وسوريا ..اما الدول الضعيفة الخنوعة تنتظر الخلاص من هيئة الامم المتحدة ..
نعكس الاية ونفترض ان المغرب يحتضن المزابيين والامازيغ ويسلحهم ويعطيهم منطقة يتجمعون فيها مثل تندوف هل ستبقة الجزائر مكتوفة الايدي..
كل مغربي يقدم يوميا 40 درهم للصحراء..هل ستستمر الاوضاع على ماهي عليه..؟فإذا كانت الصحراء مغربية فيجب ان نلقن الجزائر درسا لا ينسى ةنستعيد منها حاسي الرمل وحاسي بيضة ومغنية وتندوف ومناطق اخرى وان كنا لا نقدر على مقارعة الجزائر فيحب ان نعتذر لها ونبحث عن حل سلمي .
كلمة حق تعلو ولا يعلى عليها"
السبت 21 دجنبر 2019 - 10:01,نور,"إذا كانت الدولة غير مسؤولة عن توظيف الشباب، فلم لا نحذف هذه الوزارة وتعود أنت يا ""أعجوبة الزمان"" لصفوف العاطلين."
السبت 21 دجنبر 2019 - 10:15,farid,"Tout marocain, jeune , vieux, politicien ou technocrate, riche, pauvre, demuni, milliardaire, homme, femme, brillant, sot,............qui accede au parlement ou au gouvernement, change sa veste sur ses frères marocains........le pouvoir de l'argent fait oublier les promesses et les valeurs. TRISTE CONCLUSION!"
السبت 21 دجنبر 2019 - 10:16,مهتم جدا,من دخل دار اشعب الطماع صار منهم
السبت 21 دجنبر 2019 - 10:35,متتبع,الدولة مسؤولة يا وزير عن التشغيل دستوريا وشرعا.كيف.1 محاربة الفساد. 2 الاستثمار 3 إرجاع أراضي سوجيطا. 4 التهرب الضريبي 5 اقتصاد الريع 6 أين الضريبة عن التروة 7 الأجور العليا 8 إلغاء تقاعد الوزراء والبرلمان 9 رخص الكريمات والصيد البحري 10 تطبيق القانون على الجميع.كل هدا سيجلب التشغيل والمداخيل يا وزير .
السبت 21 دجنبر 2019 - 10:40,رأي,هذا ليس بغريب على الاحزاب المغربية !!!! عندما ينتمون إلى المعارضة يخرجون لنا مسرحيات المناضلين و الدفاع عن حقوق المغاربة و ما ان يدخلون الحكومة حتى يتخلون عن شعاراتهم و يكشفون عن الوجه الآخر !!!!! أين هي العدالة و أين هي التنمية و أين هي الديمقراطية واين هو التقدم ووووووو ؟؟؟؟؟ الله يلطف بنا.
السبت 21 دجنبر 2019 - 10:43,Mohamed,جسم طري وعقل هرم هذا ما دفع العثماني الى وصفه بأعجوبة الزمن.
السبت 21 دجنبر 2019 - 10:44,bribri,"من مهام وزارة الشغل الحفاظ على الشغل la protection de la""emploi ( دور هام جدا) حماية حقوق العمال من خلال الحوار الاجتماعي البحث دوليا عن فرص الشغل للمغاربة اعداد مشاريع قوانين تسهل اندماج الشباب في سوق الشغل التكوين وإعادة التكوين. الوزارات الاخرى والمالية والاقتصاد الفلاحة التعليم الصحة الجماعات المحلية (الداخلية) هى كذالك منوط به ايجاد حلول لمعضلة التشغيل. 
من الافضل إدماج قطا ع التكوين المهني مع وزارة الشغل."
السبت 21 دجنبر 2019 - 11:00,siba,اذا أسندت الأمور إلى غير أهلها فانتصر الساعة....
السبت 21 دجنبر 2019 - 11:34,ياسين الفكيكي,في الواقع جميع وزراء العدالة والتنمية من اعجوبات الزمان وفي مقدمتهم كبيرهم الذي علمهم التملق و التزلف و الوصولية واستخدام الدين و شعارات الغوغائية للوصول الى المبتغى اقول كلهم من اعجوبات الزمان و رأينا معهم الاعجوبات و سنرى المزيد من الاعاجيب و نستحق فأي شعب يوصل البؤساء الى السلطة يستحق البؤس لانه شعب بئيس. فهنيئا لاعجوبة الزمان و رفاقه المناصب و التعويضات و الامتيازات ولكن سيذكر لهم التاريخ ان حزبهم كان ورقة حمام قضى الغرض و انتهى!
السبت 21 دجنبر 2019 - 11:44,HASSAN,اذا كان السيد الوزير غير مسؤول عن التشغيل فانا كمواطن اطلب منه ما هي المهمات المكلف بها اذا ؟
السبت 21 دجنبر 2019 - 12:02,لحسن,حق الشغل مكفول بالدستور وتكفله المواثيق الدولية التي صادق عليها المغرب. ووزير الشغل يجب عليه ان يستقيل ويقدم اعتذار رسمي للمغاربة. فالشغل هو الذي يحفظ كرامة الإنسان. وشكرا
السبت 21 دجنبر 2019 - 12:03,Benbin,عجيب إمر هشا Alwozair باقي حتى ما سخنتي بلاصتك قلبتي الكبوط. فغلا بدلت الكبوط لأنك لم تكن حتى تحلم بارتداء هذه الملابس التي ترتديها الآن فقل ما شئت. لن تخرج بالفعل عن توجهات من تنتمي إليهم بالطةعة والولاء وإلا ما وجدت نفسك هنا. صل وجل والتاريخ بيننا.
السبت 21 دجنبر 2019 - 12:07,driss,لا يمكن تحميل المسؤولية لهذا الشخص لانه لم يكن يحلم حتى بالدخول إلى مكتب وزير، فكيف يمكن تحميله مسؤولية قطاع يهم مصير البلاد ومستقبلها. المسؤول هو من كلفه بهذه المهمة. انه الاستهتار بمصلحة البلاد والعباد. لو استثمرنا الأموال التي تؤدى لأعضاء الحكومة والبرلمان في الصحة والتعليم لكان حال البلاد احسن.
السبت 21 دجنبر 2019 - 12:10,عبدالرحمن,كي كنت كي وليتي. حسبنا الله ونعم الوكيل.
السبت 21 دجنبر 2019 - 12:20,فتاح,ادا أسندت الامور لغير اهلها فانتصر الساعة
السبت 21 دجنبر 2019 - 12:42,أم أناس,قالو ناس زمان الله ينجيك من المشتاق إلى داق
السبت 21 دجنبر 2019 - 13:09,قرطووف,التشغيل من مسؤوليات وزارة التشغيل ..وعليها أن تتدخل لدى المصالح المختصة بالاستثمار ، و تحرص على تبسيط الإجراءات والمساطر الإدارية المتعلقة بالاستثمار لأنه هو قاطرة التشغيل في القطاع الخاص سواء التشغيل المباشر وغير المباشر... على الوزارة كذالك ان تقوم بتحفيز القطاع الغير مهيكل مع الوزارات الأخرى، على التنظيم وإعادة هيكلة القطاع وتشجيعه على الإقلاع التجاري والصناعي .. ويساهم بالتالي في خلق فرص الشغل... وعلى العموم على الوزارة التدخل في كل القطاعات المدرة للتشغيل.....
السبت 21 دجنبر 2019 - 13:46,سعيد,إذا كان السيد الوزير صادقا في كلامه. فمن البلاهة الإبقاء على وزارة الشغل في المغرب
السبت 21 دجنبر 2019 - 14:30,عبدالله,الكل ينادي بإعطاء فرص للشباب في الاستوزار لكن تبين من خلال خرجات هذا الوزير غير المحسوبة أنه وأمثاله لا يصلحون للوزارة وإلا كل تصريح يصدر عنه يجب ان يخضع لرقابة حزبه ولهذا لمنصب الوزارة في المغرب يجب أن يراعى فيه أيضا النضج الفكري والسياسي
السبت 21 دجنبر 2019 - 15:07,robinhood,هاذا من الكفاءات اللي جبهوملينا السي العثماني، ماعارفش حتى مهمة الوزارة التي يشرف عليها، تبارك الله، اللهم زد و بارك.
السبت 21 دجنبر 2019 - 15:09,دمحم,لي شغلي و منصبي و حزبي و سيارتي و اقابل الملك و الوزير الأول و الحكومة اما انتم لقد سبق لاخر بان وصفنا بالمدوخين فكان مصيره ما كان. طالبوا باستقلته فورا حتى يكون افضل عجوبة العثماني...
السبت 21 دجنبر 2019 - 15:28,متعجب,انه من عجائب الزمان ان يصدر مثل هذا الكلام عن وزير شاب ، كان من المفروض ان يكون في مقدمة المدافعين عن قضايا الشباب ، وفي طليعتها قضية التشغيل وخاصة أنه قبل عن طواعية حمل حقيبة الشغل والتشغيل والتي لا تعني في المغرب شيئا آخر سوى مسؤولية ابتكار الحلول الواقعية والممكنة للتقليص من آفة البطالة التي تنخر شبابنا. نعم معالي الوزير الشاب ، إنها مسؤوليتكم بامتياز . بل إن مردودية ادائكم الحكومي يجب أن تقاس بعدد مناصب الشغل وفرص العمل التي ستتوفر في فترة استوزاركم .
السبت 21 دجنبر 2019 - 18:16,المهدي,"هذا الوزير لا يريد من يذكرونه بأيام الزلط فالحديث عن الفقر والبطالة يفسد عليه سكرة المنصب ومعالي الوزير والذوبان في الزمرة الجديدة من المعارف "" النقيّين "".. الرجل مسكين هرب من البطالة وأنتم كتفكروه فيها ؟ بحال الى دخلتي شي مسكين للدار ميت بالجوع وحطّيتي له الشوا وجا واحد كيقول له أش نديرو مع شي سعّايا فباب الدار .. إضربهم خلا باغين يوحّلوها لنا باقي كاع ما بدينا !! وثانياً خَص الجميع يعرف بأن كلمة التشغيل لم تحدد تشغيل من وماذا تقدر تكون تشغيل محرك السيارة .. المصعد .. الشيفور .. المدلّكة بحال السلف الصالح دالوزير إلخ ..."
الأحد 22 دجنبر 2019 - 02:29,براهيم,"السؤال الذي يجب أن يطرح: كيف تم استوزار هذا الشخص، سيرته الذاتية وتجربته لا تؤهله بتاتا لشغل قطاع حساس مثل التشغيل. استوزاره جاء كمحاولة من الأمين العام للحزب لضم الشبيبة لصالحه، واسكات صوتها المزعج عبر استوزار كاتبها الأول. استوزار هذا ""الشبح"" يؤكد افتقاد حزب البيجيدي للكفاءات والطاقات..فهل بأمثال هؤلاء، وأمثال وزيرة التضامن والجالية، وقبله وزيرة التضامن سنحل مشاكل المغرب...لاتنتظرو منه شيئا. سيقضي جل أوقاته متنقلا بين مكتبه الوثير حيث يوقع الوثائق الادارية، وبين الندوات والمؤتمرات والسفريات على حساب أموال دافعي الضرائب...لن يضيف أي شيء لقطاع التشغيل، على غرار الذين سبقوه..سيقضي أقل من سنة تم يغادر بتقاعد مريح وأجرة 12 شهرا نهاية الخدمة، في اطار ""الريع السياسي"" و الحزبي والانتخابي..حزب باع الوهم للمغاربة، وأوصل اليأس الى نفوسهم، وبالمقابل تمرغ أمثال هؤلاء في الريع واستفادوا من الكعكة..لايرجى منكم خيرررررررررررر"
الأحد 22 دجنبر 2019 - 10:35,محمد,ربما فقهاء السياسة ألزموه على هذا القول ليبرهنوا للشعب اهذا هوالنموذج الشبابي الذي تريدونه أن يقودكم أيروقكم هذا النمط؟ففقهاء السياسة في انتظار رد الشعب. بلا إنها خدع المارقين في السياسة خدمة لخلودهم لشغل هذه المناصب كورثة شرعيين.في حين أن الإخفاق يستوجب التنحي والكلمة الاخيرة لا للشيطنة كفاكم عبثا...!
السبت 21 دجنبر 2019 - 21:59,mekkaoui moulay lhoussaine,"التطرف لا يمثل الاسلام ، هناك فرق شاسع بين التطرف والتفوق ، التطرف عصبية سببها الحقد والكراهية والجهل بالمفهوم الحقيقي للاسلام ، التفوق هو ان تقبل من يخالفك في الراي وفي العبادة ، لانا الله شرع شرائع وليس شريعة واحد ، التطرف هي وسيلة الانتقام و انتحال الشخصية ، الكون لله وحده ، لكن هناك سبب حقيقي والله اعلم الى ما وصلت اليه الامة والامم السابقة من التدهور ، الامة والامم السابقة دخلت في صراع بين قدري الله الكوني وبين قدري الله الشرعي .
الفقهاء والعلماء خارج السياق يجب اعادة التأهيل للعلماء حتى يواكب الجميع التغيرات الكونية ، يجب ان نعيش الواقع و نستعد لتوقع ."
